,dest prefixes,nb of packets,% of traffic (packets)
2,139.91.67.0,270046335,7.096672845694761
0,139.91.110.0,202122074,5.311659697478609
12,139.91.31.0,179305314,4.712047482342512
9,139.91.154.0,121167887,3.1842270825231203
98,139.91.126.0,60217680,1.5824883329252977
11,139.91.193.0,54579635,1.4343235342647083
3,139.91.117.0,54160561,1.4233104943131136
157,139.91.7.0,34224151,0.8993923323145904
79,139.91.21.0,31970409,0.8401652013387088
66,139.91.64.0,30133303,0.7918870409820318
126,139.91.207.0,28223051,0.7416866429768743
6,139.91.108.0,27266867,0.7165586403017488
20,139.91.9.0,22267640,0.5851816360540738
234,139.91.71.0,21564187,0.5666952685078431
4,139.91.115.0,17232079,0.45284979377397194
31,139.91.106.0,15801448,0.41525357840630495
16,139.91.105.0,15321057,0.4026291605818003
183,139.91.210.0,13928884,0.3660436008273626
17,139.91.15.0,13777286,0.36205968669625005
115,139.91.204.0,13605481,0.3575447434430688
14,139.91.97.0,13237423,0.3478723766092781
201,139.91.253.0,13052009,0.34299979613522114
24,139.91.3.0,12657280,0.3326265297262982
26,139.91.1.0,12616639,0.33155850604391096
21,139.91.72.0,12603794,0.33122094633326743
55,139.91.237.0,11785207,0.30970891901862624
15,139.91.13.0,11195506,0.29421189302203554
42,139.91.213.0,11146603,0.29292674841093386
198,139.91.206.0,10401971,0.2733582188308698
166,139.91.99.0,10013399,0.26314675507966834
62,139.91.18.0,9661510,0.25389930089370916
46,139.91.0.0,9394124,0.24687254022495603
13,139.91.120.0,9131562,0.23997255168887272
121,139.91.2.0,8833965,0.23215186214364997
30,139.91.23.0,8661452,0.2276183130302012
33,139.91.86.0,7609511,0.19997386775390075
139,139.91.29.0,7300574,0.19185516909083467
7,139.91.91.0,7011537,0.1842594317544954
48,139.91.252.0,7004454,0.18407329431342978
8,139.91.19.0,6736702,0.177036915360979
171,139.91.6.0,6147767,0.16156001943354775
226,139.91.78.0,6074111,0.15962437925860334
27,139.91.52.0,5048838,0.13268075471904422
22,139.91.62.0,4918865,0.12926513398946282
5,139.91.89.0,4668830,0.12269434829458088
103,139.91.128.0,4537480,0.11924254074354708
128,139.91.219.0,4091461,0.1075214006437789
19,139.91.28.0,3736716,0.09819889230962214
10,139.91.46.0,3650496,0.09593307695332115
50,139.91.61.0,3572796,0.09389116262735749
224,139.91.225.0,3464128,0.09103542587093767
176,139.91.60.0,3113648,0.08182499944926785
95,139.91.119.0,3090526,0.08121736569064582
34,139.91.63.0,3056540,0.08032423183888003
138,139.91.14.0,2872282,0.0754820304248078
64,139.91.127.0,2797722,0.07352263361471963
78,139.91.163.0,2677380,0.07036011039959583
204,139.91.160.0,2590078,0.06806586066362055
29,139.91.255.0,2585818,0.06795391014845188
61,139.91.131.0,2516178,0.06612380829954441
233,139.91.114.0,2479931,0.06517125658045554
18,139.91.83.0,2441712,0.06416688175903978
110,139.91.167.0,2409382,0.06331726669908604
205,139.91.69.0,2385227,0.0626824862545088
227,139.91.58.0,2053283,0.053959175971140944
108,139.91.254.0,1985560,0.052179451854059374
146,139.91.85.0,1945866,0.05113631482375305
180,139.91.81.0,1843918,0.04845717606309226
49,139.91.65.0,1826466,0.047998546863391896
43,139.91.215.0,1804017,0.04740859918380942
154,139.91.17.0,1772869,0.04659004644989544
203,139.91.87.0,1716647,0.04511256244430562
25,139.91.112.0,1690907,0.04443612904983581
189,139.91.22.0,1664572,0.043744059374491495
135,139.91.16.0,1644710,0.04322209666738351
23,139.91.24.0,1635288,0.04297449156082971
109,139.91.57.0,1630545,0.042849848064715874
116,139.91.33.0,1576139,0.04142008756512283
72,139.91.238.0,1450511,0.03811865110512073
28,139.91.165.0,1444022,0.037948123665465926
100,139.91.129.0,1377661,0.036204192177881955
120,139.91.205.0,1376093,0.03616298597887152
161,139.91.183.0,1318842,0.03465846040518109
222,139.91.4.0,1172240,0.030805838474487077
118,139.91.103.0,1103477,0.02899878371520472
38,139.91.134.0,1100973,0.028932979938213556
37,139.91.218.0,1061508,0.027895860905084138
175,139.91.11.0,943965,0.02480689390872961
210,139.91.10.0,841445,0.022112723294858375
32,139.91.178.0,841138,0.022104655499516405
211,139.91.77.0,834146,0.02192090948964333
51,139.91.164.0,750491,0.019722500957616428
141,139.91.92.0,742279,0.019506694002084723
57,139.91.107.0,651077,0.017109954357856432
91,139.91.143.0,607602,0.015967454675472
80,139.91.181.0,606780,0.015945852956347907
163,139.91.122.0,597599,0.015704581200534876
106,139.91.220.0,571037,0.015006546086940967
236,139.91.130.0,561604,0.014758651906286974
1,139.91.98.0,538192,0.014143397103205101
54,139.91.182.0,469282,0.012332479262765513
131,139.91.100.0,423525,0.011130009844321248
153,139.91.68.0,414784,0.01090030105251625
199,139.91.179.0,398016,0.010459647005955648
134,139.91.233.0,387160,0.010174357148521137
92,139.91.208.0,384910,0.010115228355298251
123,139.91.132.0,312967,0.00822460490159421
53,139.91.96.0,311747,0.008192543955935579
160,139.91.184.0,293437,0.00771136697641956
144,139.91.142.0,239155,0.006284865130319694
76,139.91.251.0,235653,0.006192834448601229
70,139.91.141.0,235356,0.006185029447895808
229,139.91.231.0,235069,0.006177487241826932
82,139.91.59.0,218391,0.005739198346995246
242,139.91.180.0,198670,0.005220941044262564
45,139.91.113.0,190525,0.005006894812795717
77,139.91.84.0,178770,0.004697979717535706
213,139.91.140.0,171225,0.004499701164261628
119,139.91.216.0,166294,0.0043701171289807165
140,139.91.168.0,149364,0.003925205809308067
216,139.91.188.0,136406,0.003584676519271552
228,139.91.118.0,116516,0.00306197798718124
155,139.91.217.0,114785,0.0030164882355950993
148,139.91.152.0,104897,0.0027566368989782562
178,139.91.70.0,102777,0.0027009244360304704
173,139.91.135.0,101247,0.002660716856638908
44,139.91.123.0,100606,0.002643871720436299
133,139.91.41.0,95226,0.0025024882059744647
69,139.91.166.0,95195,0.0025016735426011717
219,139.91.20.0,91683,0.00240938006624616
87,139.91.8.0,90498,0.0023782389018154404
143,139.91.12.0,85706,0.00225230771198252
187,139.91.239.0,83325,0.0021897363090208795
93,139.91.190.0,82836,0.0021768856512937723
220,139.91.125.0,80953,0.0021274014212321305
253,139.91.189.0,80652,0.0021194913026720908
247,139.91.32.0,80586,0.002117756858070886
83,139.91.250.0,79512,0.0020895327141058286
165,139.91.136.0,77348,0.0020326639547572395
75,139.91.124.0,77174,0.0020280913280813365
63,139.91.174.0,76936,0.002021836815731538
129,139.91.80.0,76907,0.002021074711285554
124,139.91.76.0,76874,0.002020207488984952
172,139.91.101.0,75442,0.0019825752970315416
99,139.91.102.0,71712,0.0018845528975998237
235,139.91.145.0,69372,0.0018230589526480223
151,139.91.74.0,68867,0.0018097878235024411
86,139.91.47.0,67624,0.0017771224501797534
232,139.91.75.0,66666,0.0017519467239986315
252,139.91.209.0,64830,0.0017036976287287562
81,139.91.56.0,63626,0.0016720571544885986
196,139.91.144.0,63055,0.0016570515807418128
137,139.91.26.0,63022,0.0016561843584412105
170,139.91.169.0,61171,0.0016075410712165163
149,139.91.158.0,60304,0.0015847567762279644
181,139.91.5.0,59679,0.0015683321114438292
195,139.91.176.0,59677,0.0015682795525165198
113,139.91.109.0,59312,0.0015586875482825851
182,139.91.79.0,58901,0.0015478866887205381
249,139.91.201.0,58449,0.0015360083711486515
231,139.91.95.0,58269,0.001531278067690821
245,139.91.44.0,58157,0.0015283347677615036
122,139.91.240.0,57790,0.0015186902046002595
52,139.91.93.0,57096,0.0015004522568239562
190,139.91.40.0,56309,0.0014797703189277731
58,139.91.228.0,56238,0.0014779044770082956
209,139.91.175.0,56062,0.001473279291405083
159,139.91.229.0,55447,0.0014571174212574941
104,139.91.223.0,55382,0.0014554092561199442
184,139.91.55.0,54906,0.0014429002314203469
240,139.91.138.0,54711,0.001437775736007697
117,139.91.49.0,54632,0.0014356996583789823
40,139.91.153.0,54535,0.0014331505504044846
223,139.91.90.0,54529,0.0014329928736225568
167,139.91.116.0,54339,0.0014279997755281798
185,139.91.156.0,54198,0.0014242943711528788
200,139.91.243.0,53994,0.0014189333605673373
230,139.91.203.0,53758,0.001412731407144848
127,139.91.146.0,53700,0.00141120719825288
89,139.91.42.0,53632,0.0014094201947243662
36,139.91.88.0,53529,0.0014067134099679406
243,139.91.38.0,53390,0.0014030605645199493
156,139.91.224.0,52777,0.0013869512532996694
251,139.91.48.0,52777,0.0013869512532996694
145,139.91.202.0,52727,0.0013856372801169387
84,139.91.173.0,52486,0.0013793039293761764
164,139.91.200.0,52476,0.00137904113473963
254,139.91.241.0,52460,0.0013786206633211561
197,139.91.133.0,52293,0.0013742319928908354
168,139.91.185.0,52243,0.0013729180197081046
65,139.91.187.0,52200,0.001371788002770956
207,139.91.235.0,51563,0.0013550479844229657
105,139.91.191.0,51518,0.0013538654085585079
67,139.91.35.0,51453,0.001352157243420958
114,139.91.34.0,51391,0.0013505279166743716
130,139.91.214.0,51389,0.0013504753577470625
60,139.91.246.0,51060,0.0013418294142046937
238,139.91.82.0,50977,0.0013396482187213606
94,139.91.186.0,50946,0.0013388335553480674
112,139.91.222.0,50920,0.0013381502892930476
158,139.91.25.0,50698,0.0013323162483617227
179,139.91.232.0,50599,0.0013297145814599159
192,139.91.195.0,50556,0.0013285845645227673
107,139.91.147.0,50517,0.0013275596654402373
239,139.91.245.0,49993,0.0013137892264852185
255,139.91.170.0,49985,0.0013135789907759816
132,139.91.53.0,49897,0.0013112663979743754
68,139.91.150.0,49660,0.0013050381650882314
188,139.91.249.0,49577,0.0013028569696048981
208,139.91.73.0,48939,0.0012860906717932533
59,139.91.159.0,48856,0.00128390947630992
97,139.91.50.0,48831,0.0012832524897185547
71,139.91.139.0,48721,0.001280361748716547
250,139.91.148.0,48403,0.001272004879274379
218,139.91.43.0,48174,0.001265986882097472
101,139.91.155.0,48040,0.0012624654339677534
111,139.91.211.0,47802,0.0012562109216179547
73,139.91.51.0,47795,0.0012560269653723725
246,139.91.199.0,47718,0.001254003446670967
41,139.91.244.0,47689,0.0012532413422249832
136,139.91.36.0,47553,0.0012496673351679556
177,139.91.111.0,47126,0.0012384460041874345
248,139.91.104.0,46992,0.0012349245560577158
202,139.91.54.0,46897,0.0012324280070105274
142,139.91.226.0,46852,0.0012312454311460695
194,139.91.45.0,46652,0.0012259895384151463
217,139.91.242.0,46497,0.0012219162215486809
214,139.91.236.0,46336,0.0012176852279002877
85,139.91.247.0,46306,0.0012168968439906492
221,139.91.37.0,46190,0.0012138484262067138
162,139.91.149.0,45819,0.0012040987451908513
152,139.91.157.0,45811,0.0012038885094816142
225,139.91.212.0,45293,0.0011902757473085232
147,139.91.94.0,45264,0.0011895136428625394
56,139.91.177.0,45202,0.001187884316115953
47,139.91.197.0,45107,0.0011853877670687646
125,139.91.192.0,45022,0.0011831540126581222
35,139.91.161.0,44823,0.0011779243993908536
150,139.91.227.0,44599,0.0011720377995322196
102,139.91.137.0,44524,0.0011700668397581235
88,139.91.121.0,44245,0.0011627348693984856
186,139.91.171.0,44204,0.0011616574113886464
191,139.91.39.0,43905,0.0011537998517559163
39,139.91.230.0,43898,0.0011536158955103338
174,139.91.66.0,43730,0.0011492009456163584
74,139.91.234.0,43040,0.0011310681156946733
212,139.91.198.0,42792,0.0011245508087083286
90,139.91.221.0,42174,0.0011083101001697758
244,139.91.162.0,41709,0.0010960901495703794
193,139.91.27.0,41387,0.001087628162273593
237,139.91.196.0,41320,0.001085867438208734
206,139.91.172.0,41113,0.0010804275892322285
96,139.91.151.0,40926,0.001075513329528815
241,139.91.194.0,39502,0.001038091373284642
169,139.91.30.0,35768,0.0009399638559983057
215,139.91.248.0,33493,0.0008801780761840543
257,98.139.91.0,39,1.0248990825300247e-06
256,220.139.91.0,20,5.255892730923203e-07
258,58.139.91.0,2,5.255892730923203e-08
